calib_tl,-0.4500000000000002,2.7755575615628914e-17
toy_plane,-0.20690364528298516,0.033827344793320085
syringe,-0.3647902174939413,-0.1984640080576626
orange_5,-0.26308156135199695,-0.20479930035027447
orange_4,-0.552133571945665,-0.3870234310714623
calib_br,-0.4500000000000003,-0.45000000000000007
orange_2,-0.7428701826013842,-0.3225475163783684
orange_1,-0.4978455194989143,-0.10219225079474992
black_bottle,-0.6095396970282876,-0.3397869575578807
orange_3,-0.24158891531810256,-0.07405473095410459
pickle,-0.596747707927715,-0.20638767609275302
calib_tr,-3.3306690738754696e-16,2.7755575615628914e-17
