calib_tl,-0.44999999999999996,2.7755575615628914e-17
vaseline,-0.4463600065537334,-0.23059863368903957
wood_bowl,-0.278021128666885,-0.34298643662112294
black_bottle,-0.8228212397954096,-0.35965892091353335
orange_5,-0.06051268717320357,-0.14094195671686446
orange_4,-0.3146310319280798,-0.18453051760247333
calib_br,-0.44999999999999984,-0.44999999999999996
orange_2,-0.22784339426405842,-0.04308367407998401
orange_1,-0.6349985396572113,-0.19052184102922107
syringe,-0.43027254982974533,-0.10187493766829558
orange_3,-0.5873869124791633,-0.3730328114091951
pickle,-0.18856159797119193,-0.15204946644061038
calib_tr,2.220446049250313e-16,0.0
