calib_tl,-0.44999999999999996,1.3877787807814457e-17
vaseline,-0.11457252293637343,-0.23932374901331538
wood_bowl,-0.29247078766547185,-0.17793320306939792
garlic_press,-0.9941530040502596,-0.43166901745623
VIRTUAL_ME,-0.8100000000000002,-0.585
VIRTUAL_YOU,-0.08999999999999986,0.135
orange_5,-0.3480033385525175,-0.3439504910777831
orange_4,-0.06597911463657646,-0.1262166953506127
calib_br,-0.45000000000000007,-0.44999999999999996
orange_2,-0.2418936580442293,0.012733084020238372
orange_1,-0.8171738117729268,-0.25908138045264556
orange_3,-0.4546953247324629,-0.18269646346355412
pickle,-0.6128029607008372,-0.16827857503332078
calib_tr,1.1102230246251565e-16,1.3877787807814457e-17
