calib_tl,-0.4500000000000003,0.0
toy_plane,-0.4566044279687524,-0.31611876144233064
VIRTUAL_ME,-0.8100000000000006,-0.585
VIRTUAL_YOU,-0.09000000000000036,0.13500000000000004
syringe,-0.21634959802594966,-0.06128711295072832
orange_5,-0.1714921083453685,-0.16524416938629305
orange_4,-0.10108424966739116,0.0321420042983364
calib_br,-0.4500000000000006,-0.44999999999999996
orange_2,-0.6849057891086074,-0.3818594284804585
orange_1,-0.7067454315961841,-0.17947942370452913
black_bottle,-0.6642686573952996,-0.2536257263392502
orange_3,-0.362813704642886,-0.10790018307729045
pickle,-0.4919002513048524,-0.06840324763193505
calib_tr,-5.551115123125783e-16,1.3877787807814457e-17
