calib_tl,-0.4499999999999998,0.0
vaseline,-0.7875613012205753,-0.22316326217850918
wood_bowl,-0.5342646578029641,-0.33131394057868363
garlic_press,-0.2333001852659108,-0.3545869489701396
VIRTUAL_ME,-0.8999999999999998,-0.675
VIRTUAL_YOU,3.3306690738754696e-16,0.22500000000000003
orange_5,-0.11074678509154268,-0.29721820169463836
orange_4,-0.13644425675675653,-0.0503827069256757
calib_br,-0.44999999999999973,-0.4500000000000001
orange_2,-0.6379863230165648,-0.23292854661617263
orange_1,-0.6622616063644288,-0.0962053693057977
orange_3,-0.7895229402789885,-0.41751265189080217
pickle,-0.2154983108108105,-0.038600612331081086
calib_tr,3.3306690738754696e-16,-5.551115123125783e-17
