56,3
57,2
58,3
59,1
60,3
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,0
69,3
70,3
71,2
72,3
73,3
74,2
75,2
76,3
77,3
78,3
79,3
80,3
81,3
82,3
83,3
84,3
85,3
86,2
87,2
88,3
89,3
90,3
91,3
92,2
93,2
94,3
95,3
96,0
97,1
98,3
99,2
100,3
101,2
148,0
149,3
150,3
151,2
152,3
153,2
154,3
155,1
156,2
157,1
158,0
159,0
160,0
161,1
162,0
163,1
164,1
165,2
166,2
167,2
168,2
169,2
170,3
171,1
172,2
173,3
174,3
175,3
176,3
177,3
178,3
179,3
180,3
181,2
182,3
183,3
184,2
185,1
186,3
187,2
188,2
189,3
190,3
191,3
192,3
193,3
194,3
195,2
196,2
197,3
198,3
199,3
200,3
201,3
247,2
248,3
249,1
250,0
251,3
252,2
253,2
254,3
255,2
256,3
257,3
258,1
259,3
260,2
261,0
262,2
263,3
264,3
265,3
266,2
267,2
268,1
269,0
270,2
271,2
272,3
273,2
274,2
275,2
276,3
277,2
278,2
279,2
280,2
281,3
282,3
283,2
284,3
285,3
286,2
287,3
288,3
289,3
290,3
291,2
340,3
341,3
342,3
343,1
344,2
345,3
346,3
347,3
348,3
349,2
350,3
351,3
352,1
353,0
354,3
355,3
356,3
357,3
358,3
359,3
360,3
361,3
362,3
363,3
364,3
365,3
366,1
367,3
368,3
369,3
370,0
371,3
372,1
373,1
374,2
375,2
376,1
377,2
378,3
379,3
380,3
381,3
382,3
383,3
384,3
416,3
417,2
418,3
419,3
420,3
421,2
422,3
423,3
424,3
425,3
426,3
427,3
428,1
429,3
430,1
431,3
432,2
433,2
434,3
435,3
436,2
437,3
438,3
439,3
440,2
441,3
442,3
443,3
444,3
445,3
446,0
447,3
448,3
449,3
450,3
451,3
452,3
453,3
454,3
493,3
494,3
495,0
496,1
497,2
498,3
499,3
500,3
501,3
502,1
503,3
504,3
505,3
506,3
507,3
508,0
509,3
510,0
511,3
512,1
513,1
514,3
515,3
516,3
517,3
518,3
519,3
520,3
521,2
522,3
523,3
524,3
525,3
526,3
527,3
528,2
529,2
530,1
531,3
532,2
572,2
573,2
574,3
575,3
576,2
577,2
578,3
579,2
580,3
581,0
582,1
583,3
584,2
585,3
586,3
587,1
588,3
589,3
590,1
591,2
592,3
593,2
594,3
595,3
596,1
597,1
598,2
599,2
600,3
601,3
602,2
603,3
604,3
605,3
606,2
607,2
608,3
646,2
647,2
648,2
649,3
650,0
651,3
652,3
653,3
654,0
655,2
656,3
657,3
658,2
659,2
660,0
661,2
662,2
663,3
664,3
665,3
666,2
667,3
668,2
669,3
670,2
671,3
672,3
673,0
674,3
675,0
676,3
677,3
678,3
679,2
680,3
681,3
682,3
724,0
725,3
726,3
727,3
728,2
729,2
730,3
731,3
732,3
733,0
734,3
735,2
736,3
737,3
738,2
739,2
740,3
741,3
742,1
743,3
744,0
745,1
746,2
747,3
748,3
749,2
750,3
751,2
752,3
753,3
754,3
755,1
756,3
757,0
758,2
759,3
760,3
761,2
